id,Title,Cities
6926,Wildflower Homes,Airdrie
8896,Eagle Woods,Ajax
8806,Enclave Towns,Ajax
8560,Hilltop Towns,Ajax
8542,Hunters Crossing Ajax,Ajax
8421,Lake Pointe Condos,Ajax
8400,Lakewalk Towns,Ajax
8398,Lakewind,Ajax
8278,Marquis Towns,Ajax
6751,Paradise Beach Homes,Ajax
7180,Towne Manors,Ajax
9247,Banting Square,Alliston
6695,The Bluffs at Huron,Ashfield-Colborne-Wawanosh
9370,Adena Views,Aurora
9278,AURORA BUSINESS CENTRE,Aurora
9276,Aurora Glen Townhomes,Aurora
9274,Aurora Hills,Aurora
9272,Aurora Mills Business Park,Aurora
8588,High Park Urban Towns,Aurora
8386,Le Triomphe Condos,Aurora
8376,Leslie Towns On The Park,Aurora
8195,Monteverdi Estates,Aurora
7840,River Ridge Aurora,Aurora
7838,River Ridge On The Valley,Aurora
7808,Royal Hill,Aurora
7747,Shining Hill,Aurora
7739,Silhouette Towns,Aurora
7466,The Enclave at Aurora Glen,Aurora
6908,WoodHaven Aurora,Aurora
9545,430 ESSA Condos,Barrie
9286,Aspen Woods,Barrie
9221,BEA Towns,Barrie
9217,Bear Creek Ridge,Barrie
9192,Bistro 6 Fennel Condos,Barrie
8944,Debut Condos,Barrie
8796,Essa Towns,Barrie
58309,Four10 Yonge Towns,Barrie
8719,Friday Harbour,Barrie
8664,GO Towns,Barrie
8548,Horseshoe Residences,Barrie
8404,Lakevu Condos,Barrie
8402,LakeVu Condos 2,Barrie
6638,LakeVu Condos 3,Barrie
8304,Mapleview Park,Barrie
8250,Midhurst Valley Towns,Barrie
7890,Rainwater at 339 Veterans,Barrie
7764,Sean Final Phase,Barrie
25349,South Barrie Homes,Barrie
30021,South Barrie Towns,Barrie
7693,South District Condos,Barrie
7588,Terra Barrie Towns,Barrie
7388,The Landing at Little Lake Condo,Barrie
7312,The Residences at Five Points,Barrie
7308,The Residences on Owen,Barrie
7186,Touchstone on Lake Muskoka,Barrie
6745,Vicinity Homes,Barrie
52716,Vicinity West Homes,Barrie
7934,Porta Condos,Belleville
9324,Aquavil Condos,Blue Mountain
9172,Blumont,Blue Mountain
6918,Windfall at Blue Mountain,Blue Mountain
9519,50 Ann Condo,Bolton
9337,Appleview Towns,Bowmanville
8205,MODO 51,Bowmanville
8203,MODO 55 Condos,Bowmanville
8035,Orchard East,Bowmanville
7046,Utopia Condos,Bowmanville
7068,Upper Vista Muskoka,Bracebridge
7066,Upper Vista Muskoka Condos,Bracebridge
6932,White Pines Homes,Bracebridge
9166,Bondhead Towns,Bradford
8558,Holland Haus,Bradford
31326,Summerlyn Village Homes,Bradford
7572,The Ambrose Condos,Bradford
7129,Twin Regency,Bradford
51436,Amira Estates Homes,Brampton
23927,Arbor West Homes,Brampton
9146,Bridle Trail Urban Towns,Brampton
9140,Bristol Place Condos,Brampton
6730,Castlemore Crossing Homes,Brampton
9047,Chinguacousy Heights,Brampton
9039,CityPointe Heights,Brampton
8958,Daniels MPV 2 Condos,Brampton
8956,Daniels MPV Condos,Brampton
8952,Daniels Sunny Meadow,Brampton
46617,Dixie Inspire Industrial Condos,Brampton
8900,Duo Condos,Brampton
8868,Edgewood Greens,Brampton
8606,HEART LAKE VILLAGE,Brampton
8604,Heartlake Industrial Condominiums,Brampton
52125,Honeystone Towns,Brampton
8310,Manors of Claireville,Brampton
8268,Maya Urban Towns,Brampton
8191,MontVert Condos,Brampton
8182,Mount Pleasant,Brampton
6839,Mount Pleasant North,Brampton
8063,Olivia Marie Gardens,Brampton
8061,OMG 2 Condos,Brampton
8031,Origins,Brampton
7906,Queen\u2019s Court Towns,Brampton
7904,Queens Lane,Brampton
7854,Ridgehill Towns,Brampton
7816,Rosewood Urban Towns,Brampton
7681,SouthSide Towns,Brampton
7673,Spring Valley,Brampton
7649,Stella at Southside Condos,Brampton
58880,The Bright Side at Mayfield Village,Brampton
59185,The Castle Mile Homes,Brampton
6683,The Crescents Homes,Brampton
7290,The Sandalwood,Brampton
7264,The Towns at Goreway Pines,Brampton
7056,UPtowns at Heartlake Condos,Brampton
6950,Westfield,Brampton
6623,Expressions Towns at Simply Grand,Brant
62149,Riverbank Estates Homes,Brant
7830,Riverside Towns,Brant
37096,Seasons at Simply Grand Homes,Brant
37072,Solstice at Simply Grand Towns,Brant
9158,Brant West Homes,Brantford
9156,Brantview Heights Phase 2,Brantford
29853,Electric Grand Towns,Brantford
51237,Empire Wyndfield Towns,Brantford
8652,Grand Bell Suites,Brantford
8644,GrandBell Commercial,Brantford
6759,Nature\u2019s Grand Homes,Brantford
7979,ParQ Towns,Brantford
7741,Sienna Woods Towns,Brantford
6636,West Brant Heights Towns,Brantford
49624,1989 Condos,Burlington
9577,35 Plains Road Condos,Burlington
9368,Affinity East Condos,Burlington
9213,BeauSoleil Condos,Burlington
8739,Forrest Grove Condos,Burlington
